Topic,Count,Name,Representation,Representative_Docs
9,26,9_body feelings_körpergefühle_stomach_connexion,"['body feelings', 'körpergefühle', 'stomach', 'connexion', 'sensing', 'common', 'feelings connected', 'know talk', 'moment people', 'mood']","[""Yeah, I think it's just a question like what is the body feeling and you know when we talk about the body feeling because I think for us is something like it's a lot of sensing you know what's actually happening in the body.  Because the feelings are there all the time."", ""It's about whether you experienced some situation.  Where you had this  Bodily feeling, emotion. Körpergefühle, So.  Like the example I did last week like you feel your stomach tightening and because you're feeling sad, for example or.  So yeah, and then the emotion.  That maybe was triggered by a bodily reception or in connexion with it."", ""Because you feel you usually like you, you feel easily. You feel like you and and the external world. And there like this sensation. It's it's fading.  Of course you can. Still, you still feel your body, but somehow like the the just the the material so and another body that's like.  It's so like close to you are you are so.  In you don't feel.  So strong strong pound that is of your own skin.  Or or your own structure or.  Yeah, your body.  But it was not like a truck[unclear] like experience, where you totally lose.  I would think like quite like in my body.  But there's a feeling it's very like it's very, very comforting. It's very nice. It's very soft. And especially I think.  Because it always requires quite a lot of trust.""]"
10,24,10_yeah yeah_yep yep_hm_yeah course,"['yeah yeah', 'yep yep', 'hm', 'yeah course', 'sure yeah', 'just yeah', 'second', 'sure', 'moment', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Yeah, yeah, of course.', 'Yep. Yep Yep Yep yeah.', 'Course yeah yeah for sure. Yeah yeah.']"
11,24,11_computer_like change_big change_interface,"['computer', 'like change', 'big change', 'interface', 'interesting yeah', 'planning', 'said beginning', 'work just', 'sound wise', 'like need']","[""Yeah. Maybe. Like, yeah, like maybe the system could be adjusted for that kind of work.  I'm just thinking like, because we talk really all this setting now, but it was today, you know? Yeah."", ""And also answer you for, I mean we we didn't really do it but would not be a big change to have.  So first we are planning to have the interface. So what they control on the computer to have like on a."", ""Yeah, thanks, that's always yeah tricky question.  So yeah, now for closing, there's two easy one, so one is.  What would you like to change if you would be empowered to change the system independently now from the.  Technological limits, what would you like to change? Sound wise direction wise anything?""]"
12,24,12_time yeah_improvising_ve_robin,"['time yeah', 'improvising', 've', 'robin', 'risk', 'really far', 'use maybe', 'expectations', 'frustration', 'setting']","['leave it to the exploration. Of course we have the risk of frustration. That is probably what is going to happen too so.', 'Yes yes yes yes yes. I definitely know because we use only two so.', ""We've been like really far away but never stopped.""]"
13,24,13_did sentire_bodily feeling_position_feeling connected,"['did sentire', 'bodily feeling', 'position', 'feeling connected', 'yeah body', 'perceive partner', 'express', 'helps', 'body expression', 'perception body']","[""Can you can you recall moments where it helped to explore the expression of your movement or your body expression so?  Right. So you're moving away to express something so direct doesn't have to be necessarily communication. Communication is.  More specific, so we express something with our position and with our moving like.  So whether a certain situation where.  Using Sentire today affected particularly.  These two aspects, so the body expression.  More position with body. I'm in more position now  every movement .  And there is maybe something, because I mean, I imagine that in the end, as you say, especially when the guys, I I also think it's any movement does.  But maybe there is something one or two situations you want to report were also related to this.  Like a few situations."", ""I mean, I see already that is a recurring subjects. So of course we changed them.  The setting affects a lot of the experience, so even independently from using Sentire or\xa0 not.  I mean, if you did what you did last weeks, but you did it in such a setting, there would have been also a big change. So of course we are changing we have one more variable now that then.  It's hard, then, to distinguish how much Sentire is responsible, or how much the setting so.  Yeah. We still, I would say we still go this way, so.  Feel free to mention the setting as much as you want, and so yeah, next question will be about your bodily feeling. So again this German word Körpergefühle  An emotion, a feeling connected to a bodily sensation  So whether there was something like that today."", ""No, you're welcome to share any, so there was the whole point of this interview to share any thoughts you don't have.  To please me.  Just the.  Yeah, I mean these these questions are meant to be.  The reaction of a topic and then you can share really any opinion. don't be afraid about it.  So another aspect of.  Body perception, but goes a bit away so did Sentire help or didn't help.  And how in the body communication with another person and also movement communication?  We may be partially covered before, but in this case there is the aspect of communication and not so much of perception.   It might be helpful to add this before and after, so when you use Sentire, how did you communicate with your body and with your movement, and how did you do it After that can maybe help to see also different space""]"
14,23,14_randomness_stochastic_word_moment happened,"['randomness', 'stochastic', 'word', 'moment happened', 'watching don', 'tells', 'bit guess', 'disappears', 'know course', 'experience like']","[""the right word is stochastic, That's I don't know if this word tells you anything. if not, forget it, it's stochastic."", ""It's not I, I'm like I don't think it's uh, there is like any one specific moment. But there was something like that that we changed a bit something I guess."", ""Next time I give a little explanation, I think this random 'cause this is controlled randomness. I mean it's.""]"
15,22,15_floor_wires_raise_problem,"['floor', 'wires', 'raise', 'problem', 'circuit', 'device', 'different think', '29', 'air', 'close like']","[""And moving and sensing versus just having a just having the resistance the the amount of electricity flow between two cables and two humans or more it's it's yeah it's it's. It's a very small thing to measure versus what's going on, so it helps to keep the."", 'You think would?  That how much that would be.  Of a problem in the.  Thinking of how we use it, there are few times so in the whole room.  And thinking of today. So I guess that the other.  Times you probably.  The fent went everywhere, today probably the feet.  Were mostly on the floor, but not.  Also always had remember that scene with you and Kira and Kira with her feet around your head, for example.  So what do you think? How much would be that of a limitation problematic for you to say? Maybe I prefer the cable one. Then in that case.', ""Yeah. No, no, no. I understand the the problem and is The thing is, you know, especially if you're sitting, you have your knee very close. So even if you do like this, you feel like.  Very last question because it relates to what the development of the wireless version that we are doing.  So it's not fully ready yet, but it works pretty decently.  What could be a problem, especially for what I saw you using the system. Is that now it's not a bracelet anymore, it's.  something you put on your shoes. It's on both shoes. And the reason is because it does touch the floor. So the system basically the sensor doesn't work.  If there is no, is not connected to the floor, somehow this connection between these two antennas let's.  Say it works.  Thanks to the floor. Crazy thing. I don't know what's exactly why, but anyway it's like this so.  But first, the way you use it especially as dancers.  if you raise your feet up in the air  Screw up the the signal anyway, So what do?""]"
16,21,16_01 36_misunderstanding_start think_yeah fine,"['01 36', 'misunderstanding', 'start think', 'yeah fine', 'mean different', '50', 'left', 'll', 'present', 'body perception']","[""Yeah, I'll keep my present [unclear]  Made normal."", ""That's fine, that's your. 01:36:50 OK."", ""I think he's fine, that's.  I mean yeah, I I know that.  But I left it so general on purpose you know because.  bodily, body perception can mean different things, but.""]"
17,20,17_maybe specific_know don_maria said_understand better,"['maybe specific', 'know don', 'maria said', 'understand better', 'work yeah', 'want say', 'influence', 'earlier', 'situations', 'maria']","[""It's not giving me information like following on from what Maria said about."", 'Yeah, maybe select maybe one specific situation where.', 'So you find.\xa0 00:45:49 Sprecher22: That they just quickly resumed, just to be sure I understood.']"
18,19,18_fun_joy_like playfulness_super,"['fun', 'joy', 'like playfulness', 'super', 'enjoyed', 'like wow', 'understanding', 'moment felt', 'letting', 'mean like']","['It feels like that relates to what I said, like in in. In my experience, this kind of composition and witnessing that I enjoyed that as well.', 'I mean like there was a lot of joy. There was also like a lot of fun and and then yes, also frustration.', 'But you mean today you felt  Am I understanding correctly? You are saying that the setting give you.  Let you do let you do something that you you otherwise you would have not done or you were letting out the playfulness.']"
19,18,19_think think_bing_yeah says_wait,"['think think', 'bing', 'yeah says', 'wait', 'opinion', 'like specifically', 'hope', 'gonna', 'today', 'maybe']","[""I think I I'm I'm I think I'm both."", 'I think that was like specifically just today then maybe that I think.', 'I think that you know, I think I think.']"
20,16,20_technical_30_game like_like focused,"['technical', '30', 'game like', 'like focused', 'thinking yeah', 'session', 'faster', 'taking away', 'perception', 'brain']","['It gives access.  To another perception, another kind of or any particular receiving.', 'Yeah, it just puts the focus on something that it may be like sometimes like.  When we are focused on one sense, then to other senses. They have access from in this moment.', ""I it's sort of a bit.  Of having to imagine it.  But it's the there is, it Is there, It's definitely there.  But like I guess partly in.  This session I was kind of thinking about  And yeah, you know we're also imagining it.""]"
21,14,21_maybe actually_like jam_stayed_know think,"['maybe actually', 'like jam', 'stayed', 'know think', 'ideas', 'try', 'just like', 'need', 'thing', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['I think I would have. I would have ideas.', 'Thing you know, I would need to.', 'Just like have been a jam, I would have stayed.']"
22,12,22_thank yeah_17_couldn_00 53,"['thank yeah', '17', 'couldn', '00 53', 'hope', 'ok', 've', 'right', 'want', '', '', '', '', '', '', '', '', '', '', '']","['Yeah yeah yeah, thank you.', ""Yeah. Thank you. And couldn't do you want more?  Yeah, that's right. We have this. Yeah."", 'Yeah. Yeah. OK. Yeah. Thank you.']"
23,10,23_working_way think_perception body_interview,"['working', 'way think', 'perception body', 'interview', 'layer', 'creating new', 'composition like', 'especially kind', 'group interaction', 'good time']","[""OK thanks.  I mean, of course in this case we last time we used one to one interaction in this case.  There was a lot of.  Group interaction.  so, hm,\xa0But can you still say  Maybe even mention one or maximum two situation where then.  Was the interaction easy to understand? Meaning, OK now I'm using the system I'm interacting with it or.  Or sometimes you were thinking to use and.  You could not see a connection between I'm moving and I'm hearing a sound. Of course. For example, what you just described you were out of it, so you you knew that there was some some going on, but it was independent from you."", ""Yeah, as we are at the end I think I will share.  Also, my opinion that.  I always try to hold back a part.  Of very few moments.  I mean, I see what you mean.  On one hand, on the other hand.  And even though I like technology in general, I also have my big issues with that, so I can relate to what you're saying.  The case of something like Santeria I and that's why I'm so motivated to work with that in studies.  Destroy is a little bit of virtual reality, as we've seen before, but on the other hand, I see it very different from virtual reality because you're actually interacting in the real.  World, it's just.  Giving a different quality to the to the real world, you know, because I'm still interacting with you.  We are here in the same room while Bobby we see each other. We just have this extra layer that is also what you were saying.  A bit at the beginning, it brings you another modality of connect perceiving. You know that it can be also misleading, can be exciting. Some people are triggered with some, but."", ""And I also understand your concerns, especially of you that so kind of people that are really professional in.  Working with body perception, more body movement in relationships with others so it can be probably a bit disorientating so I can understand that.  But I don't know. I still like this because it has another quality and it's away from this. Maybe what you were mentioning speed because I don't see this as.  Faster or slow, it's not a matter of faster.  Or slower here.  It is a matter of something different who and hopefully.  Offering something that is already there but giving another access, especially for people who are not.  Professional like you.  Working with this so my hope is that you know.  The normal average.  Person you know use this system and.  Gives a hint of what you actually work with most of your time during.  So that is my hope and motivation to work with this system. Well, there is actually working, I don't know.""]"
24,10,24_personal issues_chance_explore personal_right wrong,"['personal issues', 'chance', 'explore personal', 'right wrong', 'did experience', 'telling', 'session', 'today', 'especially', 'example']","['You know, like the experience is really.', ""It's true, and it's definitely especially in this context more and more about the experience. So yeah."", 'And so another question is the was the personal.  Issues whether you had the chance to explore any personal issues. The session today.  Explore or discover something. Something, something.']"
