Topic,Count,Name,Representation,Representative_Docs
18,9,18_stochastic_piano_mean really_level,"['stochastic', 'piano', 'mean really', 'level', 'parameter', 'yeah end', 'confusing', 'did experience', 'know sound', 'background']","[""You know, with sound. It gets easily quite confusing, you know, because you have two couples doing. I mean best case, two different sounds at least, but still, you know? So that's a bit."", ""So you mean really just to understand and be sure that I understand you correctly, so you mean really which musical parameter you're changing while you're using the system that, yeah?"", ""But that's actually how actual instrument even work. You know, if you play a note on a certain piano, we play different, and in another in another piano, you know the risk is underlying. Of course, it's another level of randomness, but yeah, just to give you a background of that, but.""]"
19,9,19_stop_actually mistake_personal issue_belt,"['stop', 'actually mistake', 'personal issue', 'belt', 'case actually', 'touch skin', 'unclear', 'emotional', 'boundaries', 'performance']","[""Yeah, we can stick it in your pants somehow. It only has to touch the skin unfortunately. I don't have a belt.."", ""it should have got to silence and that specific case was actually a mistake, but anyway, that's thank you for your answer. That's why I was asking so something that direction, something that triggers"", 'And the the the question, might create misunderstanding, with personal issues I mean, we had one performance, for example, one person who wanted to stop the touching situation because it got too emotional for him.']"
20,8,20_new_bing_experience yeah_totally,"['new', 'bing', 'experience yeah', 'totally', 'quite', 'cause', 'different', 'experience', 'know', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['Bing I know or I I hope.', ""'cause it's a, it's quite a different experience."", 'Yeah, quite a new.']"
21,8,21_reprogram_extreme_contact_traumatised touch,"['reprogram', 'extreme', 'contact', 'traumatised touch', 'especially', 'sensation', 'totally', 'imagine', 'experience', 'sound']","['Extreme fears of getting close.', ""So I imagine having that when you're totally new to contact or being close to someone, or you're even afraid of it."", ""It turns into a soothing sounds, so you get that sensation by touch someone. It's it. It can actually be nice and not scary to reprogram the fear into a soothing experience.""]"
22,8,22_like said_round_second_said,"['like said', 'round', 'second', 'said', 'question', 'mean', 'think', 'like', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[""Second, I mean I'm."", ""I said in the round and I'm."", 'Well, like I said.']"
23,7,23_terms_lot_trying_research,"['terms', 'lot', 'trying', 'research', 'able', 'exactly', 'thing', 'feel', 'know', 'think']","['Yeah, need a lot of research.', ""Think it's also highly problematic to work with it in terms of trying to."", 'But I feel I would need to like work with it on a one to one basis a lot more to be able to work out how I would apply it exactly.']"
24,6,24_cause yeah_using_yeah imagine_helped,"['cause yeah', 'using', 'yeah imagine', 'helped', 'used', 'cause', 'working', 'going', 'like', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['And then the system helped me. Whatever you do is going to.', 'And then I imagine using using the.', 'Kinda yeah, and I imagine working with the system.']"
25,6,25_telling_extreme_dislike_did experience,"['telling', 'extreme', 'dislike', 'did experience', 'particularly', 'definitely', 'context', 'sentire', 'course', '', '', '', '', '', '']","[""It's true, and it's definitely especially in this context more and more about the experience. So yeah."", 'Briefly shared, is there something that you particularly liked or dislike of the experience today?', ""Just to give you an extreme example, you know, something that of course it's also related to the setting, it is not Sentire making in itself a magic.""]"
26,6,26_help___,"['help', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['As a mover.', 'To, to...', 'Help to go.']"
27,6,27_restriction_literally_leash_dense,"['restriction', 'literally', 'leash', 'dense', 'setting', 'time', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['In the setting we were in.', 'It was a very dense time.', 'We have the restriction of being on a leash literally.']"
28,6,28_actually mistake_case actually_far_didn,"['actually mistake', 'case actually', 'far', 'didn', 'got', 'want stop', 'away', 'doing', 'just', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[""I just didn't want to."", ""So you didn't want to stop."", 'in that case, it was actually a mistake on my side or in the system. You should have got, when you were far away enough here']"
29,6,29_easier_simple_makes_bubbly,"['easier', 'simple', 'makes', 'bubbly', 'little bit', 'little', 'bit', 'like', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[""It's like a very simple logical measurable tool"", 'Easier to.', 'That that makes it easier because like.']"
