Topic,Count,Name,Representation,Representative_Docs
11,21,11_like change_adjusted_composition yeah_computer programm,"['like change', 'adjusted', 'composition yeah', 'computer programm', 'closing easy', 'decided design', 'differently correct', 'creating imagining', 'cause just', 'empowered']","[""Then the computer yes. Then you programmed it that list, but you know what's going on as we are not knowing."", ""Yeah. Maybe. Like, yeah, like maybe the system could be adjusted for that kind of work.  I'm just thinking like, because we talk really all this setting now, but it was today, you know? Yeah."", ""Yeah, thanks, that's always yeah tricky question.  So yeah, now for closing, there's two easy one, so one is.  What would you like to change if you would be empowered to change the system independently now from the.  Technological limits, what would you like to change? Sound wise direction wise anything?""]"
12,20,12_maybe did_did time_try time_thinking robin,"['maybe did', 'did time', 'try time', 'thinking robin', 'reason having', 'bear experts', 'definitely know', 'week yeah', 'use ve', 'setting thinking']","[""Well, we've been up for now, and maybe I've also said the same."", ""Bear experts we're doing with.  It every week."", 'Yes yes yes yes yes. I definitely know because we use only two so.']"
13,19,13_53 32_know saw_just say_yep correct,"['53 32', 'know saw', 'just say', 'yep correct', 'want uh', 'understand 00', 'solve issue', 'sense understand', 'saw second', 'mean let']","['Just to say that I can understand it.', ""Well, that's I mean I can really, I think to solve or go over this issue, I think it it's enough."", ""But I I can understand. 00:53:32 Yeah, to put it out here like it's really.""]"
14,19,14_playfulness_enjoyed just_content fun_drawn like,"['playfulness', 'enjoyed just', 'content fun', 'drawn like', 'composition witnessing', 'experience kind', 'joy like', 'huh', 'confusion joyful', 'like performativeness']","['I mean like there was a lot of joy. There was also like a lot of fun and and then yes, also frustration.', 'It feels like that relates to what I said, like in in. In my experience, this kind of composition and witnessing that I enjoyed that as well.', 'But you mean today you felt  Am I understanding correctly? You are saying that the setting give you.  Let you do let you do something that you you otherwise you would have not done or you were letting out the playfulness.']"
15,17,15_01 45_audience engaged_bridge groups_direction work,"['01 45', 'audience engaged', 'bridge groups', 'direction work', 'course challenge', 'movers', 'looking warm', 'middle vs', 'improvisors', 'said people']","['But of course, the challenge is that we are all movers and we are all contact improvisors and and we have like.', 'To have these two groups and then two groups come together, because people bridge', 'Students looking warm. 01:45:55 Right?']"
16,16,16_clear hard_context work_accept_following maria,"['clear hard', 'context work', 'accept', 'following maria', 'earlier saying', 'saying doesn', 'talk course', 'think add', 'softer don', 'know able']","[""Maybe there could be something that it could help. I don't know. I cannot talk from, of course."", ""It's not giving me information like following on from what Maria said about."", ""That question earlier by saying that it doesn't enhance my perception as.""]"
17,16,17_ask exactly_topics coming_direction wish_did talk,"['ask exactly', 'topics coming', 'direction wish', 'did talk', 'did reports', 'idea sure', 'moments want', 'maybe rosalind', 'share did', 'kind information']","['And whether yes or no, if you have maybe some specific moments you want to.', 'Want yeah that I want to ask you anyway exactly that that that is.  A good idea.', ""you maybe Rosalind have something in this direction or something you wish something else you wish, 'cause you already mentioned something.""]"
18,15,18_emotion_time experimental_reactive_respiration body,"['emotion', 'time experimental', 'reactive', 'respiration body', 'body experience', 'coming shy', 'concerns chest', 'disappointment bit', 'curious desiring', 'created really']","[""So maybe to that emotion that's coming up, I might be shy because I never touched it before, but it sounds is just now."", 'Yes, in my emotion. So my feeling state in that time was.  I get it.  Experimental hesitant.  Curious desiring?', ""I don't know.  From it came just.  As well, actually it was maybe a concern as a bit in my chest and a bit in my head.  And a bit like.  Maybe a bit behind my eyes.  As well, because like that's maybe a disappointment a bit more, but like the concerns were in my.  Chest and my head, but more like.""]"
19,15,19_yeah ease_help mover_money opening_movement money,"['yeah ease', 'help mover', 'money opening', 'movement money', 'right place', 'opening space', 'space movement', 'just basically', 'context', 'inside']","['yes and no, like, in this space.', 'A first movement with some money and.', 'Opening opening the.']"
20,13,20_think yeah_correct correct_says think_think correct,"['think yeah', 'correct correct', 'says think', 'think correct', 'yeah says', 'specifically', 'today', 'maybe', 'know', '', '', '', '', '', '']","['I think that you know, I think I think.', ""I think I I'm I'm I think I'm both."", 'I think that was like specifically just today then maybe that I think.']"
21,11,21_compositionally thinking_course related_depends cause_extreme example,"['compositionally thinking', 'course related', 'depends cause', 'extreme example', 'looking like', 'feels different', 'making magic', 'new totally', 'predictable sense', 'randomness yeah']","[""'cause it's a, it's quite a different experience."", ""It's looking like compositionally thinking it's not so interesting, but again, it depends."", ""Just to give you an extreme example, you know, something that of course it's also related to the setting, it is not Sentire making in itself a magic.""]"
22,11,22_like eh_real like_like terms_like rosalyn,"['like eh', 'real like', 'like terms', 'like rosalyn', 'terms yeah', 'rosalyn said', 'said actually', 'terms', 'correctly mean', 'really yeah']","['Or like that, eh,', 'Actually, the real like the.', 'And yeah, like what Rosalyn said about the.']"
